phase,source_url,image_url,source_file,alt,width,height,loading,format,bytes,exists,srcset,sizes,responsive_candidates,responsive_missing,issues
baseline,https://kujolang.ai/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,,,0,0,
baseline,https://kujolang.ai/,https://kujolang.ai/assets/images/home-agent-workflow.webp,assets/images/home-agent-workflow.webp,,1672,941,,webp,241446,True,,,0,0,
baseline,https://kujolang.ai/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,,,0,0,
baseline,https://kujolang.ai/contact/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,,,0,0,
baseline,https://kujolang.ai/contact/,https://kujolang.ai/images/contact-conversation-2073c0354259.webp,images/contact-conversation-2073c0354259.webp,Featured image for Contact,1672,941,eager,webp,231888,True,"../images/contact-conversation-2073c0354259-640.webp 640w, ../images/contact-conversation-2073c0354259-960.webp 960w, ../images/contact-conversation-2073c0354259-1280.webp 1280w, ../images/contact-conversation-2073c0354259.webp 1672w","(max-width: 720px) calc(100vw - 2rem), (max-width: 1280px) calc(100vw - 4rem), 1200px",4,0,
baseline,https://kujolang.ai/contact/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,,,0,0,
baseline,https://kujolang.ai/ecosystem/ability/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,,,0,0,
baseline,https://kujolang.ai/ecosystem/ability/,https://kujolang.ai/images/ability-portable-operation-contracts-aac323bd9b20.webp,images/ability-portable-operation-contracts-aac323bd9b20.webp,Featured image for Ability,1916,821,eager,webp,31166,True,"../../images/ability-portable-operation-contracts-aac323bd9b20-640.webp 640w, ../../images/ability-portable-operation-contracts-aac323bd9b20-960.webp 960w, ../../images/ability-portable-operation-contracts-aac323bd9b20-1280.webp 1280w, ../../images/ability-portable-operation-contracts-aac323bd9b20.webp 1916w","(max-width: 720px) calc(100vw - 2rem), (max-width: 1280px) calc(100vw - 4rem), 1200px",4,0,
baseline,https://kujolang.ai/ecosystem/ability/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,,,0,0,
baseline,https://kujolang.ai/ecosystem/agents-sdk/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,,,0,0,
baseline,https://kujolang.ai/ecosystem/agents-sdk/,https://kujolang.ai/images/agents-sdk-human-handoff-7c6891528adb.webp,images/agents-sdk-human-handoff-7c6891528adb.webp,Featured image for Agents SDK,1672,941,eager,webp,277112,True,"../../images/agents-sdk-human-handoff-7c6891528adb-640.webp 640w, ../../images/agents-sdk-human-handoff-7c6891528adb-960.webp 960w, ../../images/agents-sdk-human-handoff-7c6891528adb-1280.webp 1280w, ../../images/agents-sdk-human-handoff-7c6891528adb.webp 1672w","(max-width: 720px) calc(100vw - 2rem), (max-width: 1280px) calc(100vw - 4rem), 1200px",4,0,
baseline,https://kujolang.ai/ecosystem/agents-sdk/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,,,0,0,
baseline,https://kujolang.ai/ecosystem/ai-chat/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,,,0,0,
