phase,source_url,image_url,source_file,alt,width,height,loading,format,bytes,exists,issues
baseline,https://kujolang.ai/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
baseline,https://kujolang.ai/,https://kujolang.ai/assets/images/home-agent-workflow.webp,assets/images/home-agent-workflow.webp,,1672,941,,webp,241446,True,
baseline,https://kujolang.ai/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
baseline,https://kujolang.ai/contact/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
baseline,https://kujolang.ai/contact/,https://kujolang.ai/images/contact-conversation-2073c0354259.webp,images/contact-conversation-2073c0354259.webp,Featured image for Contact,1672,941,eager,webp,231888,True,
baseline,https://kujolang.ai/contact/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
baseline,https://kujolang.ai/ecosystem/ability/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
baseline,https://kujolang.ai/ecosystem/ability/,https://kujolang.ai/images/ability-portable-operation-contracts-aac323bd9b20.webp,images/ability-portable-operation-contracts-aac323bd9b20.webp,Featured image for Ability,1916,821,eager,webp,31166,True,
baseline,https://kujolang.ai/ecosystem/ability/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
baseline,https://kujolang.ai/ecosystem/agents-sdk/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
baseline,https://kujolang.ai/ecosystem/agents-sdk/,https://kujolang.ai/images/agents-sdk-human-handoff-7c6891528adb.webp,images/agents-sdk-human-handoff-7c6891528adb.webp,Featured image for Agents SDK,1672,941,eager,webp,277112,True,
baseline,https://kujolang.ai/ecosystem/agents-sdk/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
baseline,https://kujolang.ai/ecosystem/ai-chat/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
baseline,https://kujolang.ai/ecosystem/ai-chat/,https://kujolang.ai/images/ai-chat-conversation-9b03c2fa574c.webp,images/ai-chat-conversation-9b03c2fa574c.webp,Featured image for AI Chat,1672,941,eager,webp,231888,True,
baseline,https://kujolang.ai/ecosystem/ai-chat/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
baseline,https://kujolang.ai/ecosystem/ai-sdk/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
baseline,https://kujolang.ai/ecosystem/ai-sdk/,https://kujolang.ai/images/ai-sdk-provider-network-175c86bfdec2.webp,images/ai-sdk-provider-network-175c86bfdec2.webp,Featured image for AI SDK,1672,941,eager,webp,284232,True,
baseline,https://kujolang.ai/ecosystem/ai-sdk/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
baseline,https://kujolang.ai/ecosystem/assetworks/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
baseline,https://kujolang.ai/ecosystem/assetworks/,https://kujolang.ai/images/assetworks-media-provenance-33b0f8b9d5d1.webp,images/assetworks-media-provenance-33b0f8b9d5d1.webp,Featured image for AssetWorks,1916,821,eager,webp,31036,True,
