phase,url,title,title_length,duplicate_title,meta_description,description_length,duplicate_description,h1,h1_count,canonical,lang,og_title,og_description,og_url,og_image,twitter_card,author,issues
after,https://kujolang.ai/,Kujo — AI-Native Programming Language | Kujolang.ai,51,no,"Kujo is the programming language for AI-native software, local-first automation, and agentic workflows.",103,no,Trust at the speed of AI,1,https://kujolang.ai/,en,Kujo — AI-Native Programming Language,"Kujo is the programming language for AI-native software, local-first automation, and agentic workflows.",https://kujolang.ai/,https://kujolang.ai/assets/images/social/home.jpg,summary_large_image,Kujo Team,
after,https://kujolang.ai/contact/,Contact the Kujo Team | Kujolang.ai,35,no,"Talk with the Kujo team about the language, ecosystem, community, partnerships, or technical questions.",103,no,Contact,1,https://kujolang.ai/contact/,en,Contact the Kujo Team,"Talk with the Kujo team about the language, ecosystem, community, partnerships, or technical questions.",https://kujolang.ai/contact/,https://kujolang.ai/assets/images/social/contact.jpg,summary_large_image,Kujo Team,
after,https://kujolang.ai/ecosystem/,Ecosystem | Kujolang.ai,23,no,"Explore the Kujo ecosystem of language primitives, local-first tools, and inspectable AI-native application showcases.",118,no,Ecosystem,1,https://kujolang.ai/ecosystem/,en,Ecosystem,"Explore the Kujo ecosystem of language primitives, local-first tools, and inspectable AI-native application showcases.",https://kujolang.ai/ecosystem/,https://kujolang.ai/assets/images/social/ecosystem.jpg,summary_large_image,Kujo Team,
after,https://kujolang.ai/ethos/,The Kujo Ethos | Kujolang.ai,28,no,"The working principles behind Kujo: local-first systems, explicit authority, inspectable artifacts, and tools that help people stay in control.",143,no,Ethos,1,https://kujolang.ai/ethos/,en,The Kujo Ethos,"The working principles behind Kujo: local-first systems, explicit authority, inspectable artifacts, and tools that help people stay in control.",https://kujolang.ai/ethos/,https://kujolang.ai/assets/images/social/ethos.jpg,summary_large_image,Kujo Team,
after,https://kujolang.ai/writing/,Writing | Kujolang.ai,21,no,"Launch notes, ecosystem deep dives, tutorials, and field reports from Kujo.",75,no,Writing,1,https://kujolang.ai/writing/,en,Writing,"Launch notes, ecosystem deep dives, tutorials, and field reports from Kujo.",https://kujolang.ai/writing/,https://kujolang.ai/assets/images/social/writing.jpg,summary_large_image,Kujo Team,
after,https://kujolang.ai/ecosystem/agents-sdk/,Agents SDK — Kujo Ecosystem | Kujolang.ai,41,no,"Agent runners, tools, approvals, handoffs, tracing, sessions, memory, retrieval, artifact stores, budgets, and offline fixtures.",128,no,Agents SDK,1,https://kujolang.ai/ecosystem/agents-sdk/,en,Agents SDK — Kujo Ecosystem,"Agent runners, tools, approvals, handoffs, tracing, sessions, memory, retrieval, artifact stores, budgets, and offline fixtures.",https://kujolang.ai/ecosystem/agents-sdk/,https://kujolang.ai/assets/images/social/agents-sdk.jpg,summary_large_image,Kujo Team,
after,https://kujolang.ai/ecosystem/ai-chat/,AI Chat — Kujo Ecosystem | Kujolang.ai,38,no,"A local multi-provider chat application with encrypted provider profiles, SQLite history, streaming, comparison, transcription, and fixture smokes.",147,no,AI Chat,1,https://kujolang.ai/ecosystem/ai-chat/,en,AI Chat — Kujo Ecosystem,"A local multi-provider chat application with encrypted provider profiles, SQLite history, streaming, comparison, transcription, and fixture smokes.",https://kujolang.ai/ecosystem/ai-chat/,https://kujolang.ai/assets/images/social/ai-chat.jpg,summary_large_image,Kujo Team,
after,https://kujolang.ai/ecosystem/ai-sdk/,AI SDK — Kujo Ecosystem | Kujolang.ai,37,no,"Provider-normalized chat and embeddings contracts with presets, fixtures, retries, streaming, redaction, budgets, and telemetry hooks.",134,no,AI SDK,1,https://kujolang.ai/ecosystem/ai-sdk/,en,AI SDK — Kujo Ecosystem,"Provider-normalized chat and embeddings contracts with presets, fixtures, retries, streaming, redaction, budgets, and telemetry hooks.",https://kujolang.ai/ecosystem/ai-sdk/,https://kujolang.ai/assets/images/social/ai-sdk.jpg,summary_large_image,Kujo Team,
after,https://kujolang.ai/ecosystem/casefile/,CaseFile — Kujo Ecosystem | Kujolang.ai,39,no,"Reproducible failure and incident bundles with provenance, redaction, logs, reproduction notes, JSON, Markdown, and handoffs.",125,no,CaseFile,1,https://kujolang.ai/ecosystem/casefile/,en,CaseFile — Kujo Ecosystem,"Reproducible failure and incident bundles with provenance, redaction, logs, reproduction notes, JSON, Markdown, and handoffs.",https://kujolang.ai/ecosystem/casefile/,https://kujolang.ai/assets/images/social/casefile.jpg,summary_large_image,Kujo Team,
after,https://kujolang.ai/ecosystem/changebucket/,ChangeBucket — Kujo Ecosystem | Kujolang.ai,43,no,"Change-footprint and blast-radius reports covering churn, categories, generated files, CI, deletions, dependencies, and budgets.",128,no,ChangeBucket,1,https://kujolang.ai/ecosystem/changebucket/,en,ChangeBucket — Kujo Ecosystem,"Change-footprint and blast-radius reports covering churn, categories, generated files, CI, deletions, dependencies, and budgets.",https://kujolang.ai/ecosystem/changebucket/,https://kujolang.ai/assets/images/social/changebucket.jpg,summary_large_image,Kujo Team,
after,https://kujolang.ai/ecosystem/cms/,CMS — Kujo Ecosystem | Kujolang.ai,34,no,"A server-first headless CMS with Kujo-backed routes, models, delivery APIs, authentication boundaries, webhooks, jobs, migrations, and recovery operations.",155,no,CMS,1,https://kujolang.ai/ecosystem/cms/,en,CMS — Kujo Ecosystem,"A server-first headless CMS with Kujo-backed routes, models, delivery APIs, authentication boundaries, webhooks, jobs, migrations, and recovery operations.",https://kujolang.ai/ecosystem/cms/,https://kujolang.ai/assets/images/social/cms.jpg,summary_large_image,Kujo Team,
after,https://kujolang.ai/ecosystem/concord/,Concord — Kujo Ecosystem | Kujolang.ai,38,no,"Cross-artifact drift checks for code, CLI behavior, docs, examples, specs, evals, schemas, manifests, and sources of truth.",123,no,Concord,1,https://kujolang.ai/ecosystem/concord/,en,Concord — Kujo Ecosystem,"Cross-artifact drift checks for code, CLI behavior, docs, examples, specs, evals, schemas, manifests, and sources of truth.",https://kujolang.ai/ecosystem/concord/,https://kujolang.ai/assets/images/social/concord.jpg,summary_large_image,Kujo Team,
after,https://kujolang.ai/ecosystem/crud-api/,CRUD API Showcase — Kujo Ecosystem | Kujolang.ai,48,no,"SQLite item and project APIs with a web playground, authentication strategies, contract smokes, disaster recovery, performance, and release patterns.",149,no,CRUD API Showcase,1,https://kujolang.ai/ecosystem/crud-api/,en,CRUD API Showcase — Kujo Ecosystem,"SQLite item and project APIs with a web playground, authentication strategies, contract smokes, disaster recovery, performance, and release patterns.",https://kujolang.ai/ecosystem/crud-api/,https://kujolang.ai/assets/images/social/crud-api.jpg,summary_large_image,Kujo Team,
after,https://kujolang.ai/ecosystem/dispatch/,Dispatch — Kujo Ecosystem | Kujolang.ai,39,no,"Resumable multi-step workflows with templates, retries, approvals, persisted state, traces, reports, policy controls, and signed bundles.",137,no,Dispatch,1,https://kujolang.ai/ecosystem/dispatch/,en,Dispatch — Kujo Ecosystem,"Resumable multi-step workflows with templates, retries, approvals, persisted state, traces, reports, policy controls, and signed bundles.",https://kujolang.ai/ecosystem/dispatch/,https://kujolang.ai/assets/images/social/dispatch.jpg,summary_large_image,Kujo Team,
