phase,url,block,parse_state,schema_types,visible_alignment,rich_result_eligibility,issues
after,https://kujolang.ai/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/contact/,1,valid JSON,ContactPage|Organization,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/,1,valid JSON,CollectionPage|Organization,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ethos/,1,valid JSON,AboutPage|Organization,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/writing/,1,valid JSON,CollectionPage|Organization,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/agents-sdk/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/ai-chat/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/ai-sdk/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/casefile/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/changebucket/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/cms/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/concord/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/crud-api/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/dispatch/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/eval/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/fence/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/howl/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/kennel/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/kujo/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/leash/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/lens/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/mcp/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/muzzle/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/packwrite/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/patchbrief/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/rag/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/redact/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/runledger/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/scent/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/scout/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/shipcheck/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/sitekit/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/spec/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/ssg/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/totalrecall/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/ward/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/watchdog/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
after,https://kujolang.ai/ecosystem/workcell/,1,valid JSON,Organization|SoftwareSourceCode,manual review required,Not inferred from Schema.org validity,
