phase,url,page_type,purpose,audience,intent,topic_entity,word_count,original_evidence,currentness,citation_worthiness,competing_url,gap,action
after,https://kujolang.ai/,home,Explain Kujo programming language and its documented boundaries,Developers and AI-software teams,brand/category,Kujo programming language,104,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/contact/,page,Explain Contact and its documented boundaries,Developers and AI-software teams,informational,Contact,160,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/ability/,software-detail,Explain Ability and its documented boundaries,Developers and AI-software teams,technical adoption,Ability,784,"Tagged Ability release, executable fixtures, compatibility and runtime guides",No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Release coverage resolved; live citation performance unmeasured,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/agents-sdk/,software-detail,Explain Agents SDK and its documented boundaries,Developers and AI-software teams,technical adoption,Agents SDK,224,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/ai-chat/,software-detail,Explain AI Chat and its documented boundaries,Developers and AI-software teams,technical adoption,AI Chat,153,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/ai-sdk/,software-detail,Explain AI SDK and its documented boundaries,Developers and AI-software teams,technical adoption,AI SDK,153,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/assetworks/,software-detail,Explain AssetWorks and its documented boundaries,Developers and AI-software teams,technical adoption,AssetWorks,253,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/bluepencil/,software-detail,Explain BluePencil and its documented boundaries,Developers and AI-software teams,technical adoption,BluePencil,237,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/casefile/,software-detail,Explain CaseFile and its documented boundaries,Developers and AI-software teams,technical adoption,CaseFile,154,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/changebucket/,software-detail,Explain ChangeBucket and its documented boundaries,Developers and AI-software teams,technical adoption,ChangeBucket,154,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/cms/,software-detail,Explain CMS and its documented boundaries,Developers and AI-software teams,technical adoption,CMS,592,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/concord/,software-detail,Explain Concord and its documented boundaries,Developers and AI-software teams,technical adoption,Concord,151,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/contentgraph/,software-detail,Explain ContentGraph and its documented boundaries,Developers and AI-software teams,technical adoption,ContentGraph,261,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/crud-api/,software-detail,Explain CRUD API Showcase and its documented boundaries,Developers and AI-software teams,technical adoption,CRUD API Showcase,155,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/dispatch/,software-detail,Explain Dispatch and its documented boundaries,Developers and AI-software teams,technical adoption,Dispatch,200,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/dossier/,software-detail,Explain Dossier and its documented boundaries,Developers and AI-software teams,technical adoption,Dossier,238,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/eval/,software-detail,Explain Eval and its documented boundaries,Developers and AI-software teams,technical adoption,Eval,152,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/fence/,software-detail,Explain Fence and its documented boundaries,Developers and AI-software teams,technical adoption,Fence,145,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/galleypack/,software-detail,Explain GalleyPack and its documented boundaries,Developers and AI-software teams,technical adoption,GalleyPack,235,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/howl/,software-detail,Explain Howl and its documented boundaries,Developers and AI-software teams,technical adoption,Howl,151,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/,collection,Explain Kujo ecosystem and its documented boundaries,Developers and AI-software teams,exploration,Kujo ecosystem,1384,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://kujolang.ai/ecosystem/kennel/,software-detail,Explain Kennel and its documented boundaries,Developers and AI-software teams,technical adoption,Kennel,153,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
