phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://kujolang.ai/,Trust at the speed of AI,Kujo,Evaluate and select a Kujo capability,Trust at the speed of AI,Kujo — AI-Native Programming Language | Kujolang.ai,Kujo ecosystem,How do I use Trust at the speed of AI?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/contact/,Contact,Kujo,Evaluate and select a Kujo capability,Contact,Contact the Kujo Team | Kujolang.ai,Kujo ecosystem,How do I use Contact?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/ability/,Ability,Kujo,Evaluate and select a Kujo capability,Ability,Kujo Ability — Portable Operation Contracts | Kujolang.ai,Kujo ecosystem,How do I use Ability?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/agents-sdk/,Agents SDK,Kujo,Evaluate and select a Kujo capability,Agents SDK,Agents SDK — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Agents SDK?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/ai-chat/,AI Chat,Kujo,Evaluate and select a Kujo capability,AI Chat,AI Chat — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use AI Chat?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/ai-sdk/,AI SDK,Kujo,Evaluate and select a Kujo capability,AI SDK,AI SDK — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use AI SDK?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/assetworks/,AssetWorks,Kujo,Evaluate and select a Kujo capability,AssetWorks,AssetWorks — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use AssetWorks?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/bluepencil/,BluePencil,Kujo,Evaluate and select a Kujo capability,BluePencil,BluePencil — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use BluePencil?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/casefile/,CaseFile,Kujo,Evaluate and select a Kujo capability,CaseFile,CaseFile — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use CaseFile?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/changebucket/,ChangeBucket,Kujo,Evaluate and select a Kujo capability,ChangeBucket,ChangeBucket — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use ChangeBucket?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/cms/,CMS,Kujo,Evaluate and select a Kujo capability,CMS,Kujo CMS 1.1.0 — Agent-Ready Content Management | Kujolang.ai,Kujo ecosystem,How do I use CMS?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/concord/,Concord,Kujo,Evaluate and select a Kujo capability,Concord,Concord — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Concord?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/contentgraph/,ContentGraph,Kujo,Evaluate and select a Kujo capability,ContentGraph,ContentGraph — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use ContentGraph?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/crud-api/,CRUD API Showcase,Kujo,Evaluate and select a Kujo capability,CRUD API Showcase,CRUD API Showcase — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use CRUD API Showcase?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/dispatch/,Dispatch,Kujo,Evaluate and select a Kujo capability,Dispatch,Dispatch — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Dispatch?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/dossier/,Dossier,Kujo,Evaluate and select a Kujo capability,Dossier,Dossier — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Dossier?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/eval/,Eval,Kujo,Evaluate and select a Kujo capability,Eval,Eval — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Eval?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/fence/,Fence,Kujo,Evaluate and select a Kujo capability,Fence,Fence — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Fence?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/galleypack/,GalleyPack,Kujo,Evaluate and select a Kujo capability,GalleyPack,GalleyPack — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use GalleyPack?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/howl/,Howl,Kujo,Evaluate and select a Kujo capability,Howl,Howl — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Howl?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/,Ecosystem,Kujo,Evaluate and select a Kujo capability,Ecosystem,Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Ecosystem?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/kennel/,Kennel,Kujo,Evaluate and select a Kujo capability,Kennel,Kennel — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Kennel?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/kujo/,Kujo,Kujo,Evaluate and select a Kujo capability,Kujo,Kujo — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Kujo?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/leash/,Leash,Kujo,Evaluate and select a Kujo capability,Leash,Leash — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Leash?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/lens/,Lens,Kujo,Evaluate and select a Kujo capability,Lens,Lens — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Lens?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/mcp/,MCP,Kujo,Evaluate and select a Kujo capability,MCP,MCP — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use MCP?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/muzzle/,Muzzle,Kujo,Evaluate and select a Kujo capability,Muzzle,Muzzle — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Muzzle?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/packwrite/,PackWrite,Kujo,Evaluate and select a Kujo capability,PackWrite,PackWrite — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use PackWrite?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/paperclip/,Kujo for Paperclip,Kujo,Evaluate and select a Kujo capability,Kujo for Paperclip,"Kujo for Paperclip — Context, Review, and Failure Evidence | Kujolang.ai",Kujo ecosystem,How do I use Kujo for Paperclip?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/patchbrief/,PatchBrief,Kujo,Evaluate and select a Kujo capability,PatchBrief,PatchBrief — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use PatchBrief?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
