phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
baseline,https://kujolang.ai/,templates/page-home.html,home,200,200,yes,"default index,follow",https://kujolang.ai/,200,Kujolang.ai,11,"Kujo is the programming language for AI-native software, local-first automation, and agentic workflows.",103,Trust at the speed of AI,H2:Quick Install > H2:Give this prompt to your agent > H1:Trust at the speed of AI,65,en,,,Robert DeVore,no,Organization|WebSite,152,18,5,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,1,0,no,yes,no,yes,dfc5ffa4a805e311d12fabfb6838e91e5484c945f7d077bf90fac953afc3ffd6,
baseline,https://kujolang.ai/contact/,content/pages/02-contact.md,page,200,200,yes,"default index,follow",https://kujolang.ai/contact/,200,Contact the Kujo Team | Kujolang.ai,35,"Talk with the Kujo team about the language, ecosystem, community, partnerships, or technical questions.",103,Contact,H2:Quick Install > H2:Give this prompt to your agent > H1:Contact > H2:Send the right signal. > H3:General > H3:Technical > H3:Security > H2:Before you send,140,en,,,Robert DeVore,no,Organization|WebSite,114,17,7,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,1,1,no,yes,no,no,dfc18e7b4e61073ad243fb4d4fc056f434e3200e05f1ade1d8bc50635d513710,
baseline,https://kujolang.ai/ecosystem/,templates/page-ecosystem.html,collection,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/,200,Ecosystem | Kujolang.ai,23,"Kujo is the programming language for AI-native software, local-first automation, and agentic workflows.",103,Ecosystem,H2:Quick Install > H2:Give this prompt to your agent > H1:Ecosystem > H2:Primitives > H2:Kujo > H2:Kennel > H2:Spec > H2:Eval > H2:Scout > H2:Dispatch > H2:MCP > H2:RAG > H2:AI SDK > H2:Agents SDK > H2:Scent > H2:Fence > H2:Watchdog > H2:Leash > H2:Tooling > H2:Muzzle > H2:RunLedger > H2:ChangeBucket > H2:PatchBrief > H2:Concord > H2:ShipCheck > H2:PackWrite > H2:CaseFile > H2:Lens > H2:Ward > H2:Howl > H2:Workcell > H2:Redact > H2:SiteKit > H2:Showcase > H2:CMS > H2:CRUD API Showcase > H2:AI Chat > H2:SSG > H2:TotalRecall,735,en,,,Robert DeVore,no,Organization|WebSite,148,116,5,0,NOT AVAILABLE — DATA ACCESS REQUIRED,36,0,34,1,no,yes,no,yes,8d53b53a615cbb9121b0e55099a7bf1ce253c007cbb03f6fff441e159696a420,
baseline,https://kujolang.ai/ethos/,content/pages/01-ethos.md,page,200,200,yes,"default index,follow",https://kujolang.ai/ethos/,200,The Kujo Ethos | Kujolang.ai,28,"The working principles behind Kujo: local-first systems, explicit authority, inspectable artifacts, and tools that help people stay in control.",143,Ethos,"H2:Quick Install > H2:Give this prompt to your agent > H1:Ethos > H2:Working principles > H2:Software should make its behavior legible > H2:Local-first is an operating posture > H2:Authority should be explicit > H2:Determinism earns trust > H2:Agents are collaborators, not an excuse to remove control > H2:Composable tools beat a mandatory platform > H2:Clarity, context, and control",573,en,,,Robert DeVore,no,Organization|WebSite,114,17,5,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,1,1,no,yes,no,no,a0d583169efc5a717b5310c912265f9ff76abe49e2574d15d96e039896633351,
baseline,https://kujolang.ai/writing/,templates/page-writing.html,writing-index,200,200,yes,"default index,follow",https://kujolang.ai/writing/,200,Writing | Kujolang.ai,21,"Launch notes, ecosystem deep dives, tutorials, and field reports from Kujo.",75,Writing,H2:Quick Install > H2:Give this prompt to your agent > H1:Writing > H2:Content coming soon.,62,en,,,Robert DeVore,no,Organization|WebSite,114,17,6,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,1,1,no,yes,no,no,7e73ce2c62555570886096473d828a90b64b86846a73fb13abbad7192af806cd,
baseline,https://kujolang.ai/ecosystem/agents-sdk/,content/ecosystem/11-agents-sdk.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/agents-sdk/,200,Agents SDK — Kujo Ecosystem | Kujolang.ai,41,"Agent runners, tools, approvals, handoffs, tracing, sessions, memory, retrieval, artifact stores, budgets, and offline fixtures.",128,Agents SDK,H2:Quick Install > H2:Give this prompt to your agent > H1:Agents SDK > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Continue exploring,128,en,,,Unknown Author,no,BlogPosting|Organization|Person,3,18,6,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,1,2,no,yes,no,no,6107b9d8c192b52e93dc9032ff1406a6d0b78742695d3b80b3ab0f464691609c,
baseline,https://kujolang.ai/ecosystem/ai-chat/,content/ecosystem/40-ai-chat.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/ai-chat/,200,AI Chat — Kujo Ecosystem | Kujolang.ai,38,"A local multi-provider chat application with encrypted provider profiles, SQLite history, streaming, comparison, transcription, and fixture smokes.",147,AI Chat,H2:Quick Install > H2:Give this prompt to your agent > H1:AI Chat > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Continue exploring,134,en,,,Unknown Author,no,BlogPosting|Organization|Person,3,18,6,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,1,2,no,yes,no,no,7dc51ebb47bd239079cbd573dcdd5097155e348e9a6f60fd0df660ab2d32ebbb,
baseline,https://kujolang.ai/ecosystem/ai-sdk/,content/ecosystem/10-ai-sdk.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/ai-sdk/,200,AI SDK — Kujo Ecosystem | Kujolang.ai,37,"Provider-normalized chat and embeddings contracts with presets, fixtures, retries, streaming, redaction, budgets, and telemetry hooks.",134,AI SDK,H2:Quick Install > H2:Give this prompt to your agent > H1:AI SDK > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Continue exploring,134,en,,,Unknown Author,no,BlogPosting|Organization|Person,3,18,6,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,1,2,no,yes,no,no,13e73ba7023d89b1583afe50f1819d02a064b2a7ef52003fcee87a02f8d14433,
baseline,https://kujolang.ai/ecosystem/casefile/,content/ecosystem/22-casefile.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/casefile/,200,CaseFile — Kujo Ecosystem | Kujolang.ai,39,"Reproducible failure and incident bundles with provenance, redaction, logs, reproduction notes, JSON, Markdown, and handoffs.",125,CaseFile,H2:Quick Install > H2:Give this prompt to your agent > H1:CaseFile > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Continue exploring,135,en,,,Unknown Author,no,BlogPosting|Organization|Person,3,18,6,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,1,2,no,yes,no,no,24f12b22eb545c897e9bdf216d7d5615388f95409af829f1581ce439d7f89019,
baseline,https://kujolang.ai/ecosystem/changebucket/,content/ecosystem/27-changebucket.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/changebucket/,200,ChangeBucket — Kujo Ecosystem | Kujolang.ai,43,"Change-footprint and blast-radius reports covering churn, categories, generated files, CI, deletions, dependencies, and budgets.",128,ChangeBucket,H2:Quick Install > H2:Give this prompt to your agent > H1:ChangeBucket > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Continue exploring,135,en,,,Unknown Author,no,BlogPosting|Organization|Person,3,18,6,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,1,2,no,yes,no,no,d4647368e84f01853fef19b9a656e2e72216da0785b1099162a2bd6e4d0c1475,
baseline,https://kujolang.ai/ecosystem/cms/,content/ecosystem/41-cms.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/cms/,200,CMS — Kujo Ecosystem | Kujolang.ai,34,"A server-first headless CMS with Kujo-backed routes, models, delivery APIs, authentication boundaries, webhooks, jobs, migrations, and recovery operations.",155,CMS,H2:Quick Install > H2:Give this prompt to your agent > H1:CMS > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Continue exploring,132,en,,,Unknown Author,no,BlogPosting|Organization|Person,3,18,6,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,1,2,no,yes,no,no,e1011d02d52297121590adf85c1b5df5a1aacd571cf082a90fa9c51ce2e47065,
