phase,source_url,image_url,source_file,alt,width,height,loading,format,bytes,exists,issues
after,https://kujolang.ai/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
after,https://kujolang.ai/,https://kujolang.ai/assets/images/home-agent-workflow.webp,assets/images/home-agent-workflow.webp,,1672,941,,webp,241446,True,
after,https://kujolang.ai/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
after,https://kujolang.ai/contact/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
after,https://kujolang.ai/contact/,https://kujolang.ai/images/contact-conversation-2073c0354259.webp,images/contact-conversation-2073c0354259.webp,Featured image for Contact,1672,941,eager,webp,231888,True,
after,https://kujolang.ai/contact/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
after,https://kujolang.ai/ecosystem/agents-sdk/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
after,https://kujolang.ai/ecosystem/agents-sdk/,https://kujolang.ai/images/agents-sdk-human-handoff-7c6891528adb.webp,images/agents-sdk-human-handoff-7c6891528adb.webp,Featured image for Agents SDK,1672,941,eager,webp,277112,True,
after,https://kujolang.ai/ecosystem/agents-sdk/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
after,https://kujolang.ai/ecosystem/ai-chat/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
after,https://kujolang.ai/ecosystem/ai-chat/,https://kujolang.ai/images/ai-chat-conversation-9b03c2fa574c.webp,images/ai-chat-conversation-9b03c2fa574c.webp,Featured image for AI Chat,1672,941,eager,webp,231888,True,
after,https://kujolang.ai/ecosystem/ai-chat/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
after,https://kujolang.ai/ecosystem/ai-sdk/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
after,https://kujolang.ai/ecosystem/ai-sdk/,https://kujolang.ai/images/ai-sdk-provider-network-175c86bfdec2.webp,images/ai-sdk-provider-network-175c86bfdec2.webp,Featured image for AI SDK,1672,941,eager,webp,284232,True,
after,https://kujolang.ai/ecosystem/ai-sdk/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
after,https://kujolang.ai/ecosystem/casefile/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
after,https://kujolang.ai/ecosystem/casefile/,https://kujolang.ai/images/casefile-evidence-bundle-80849ebf2502.webp,images/casefile-evidence-bundle-80849ebf2502.webp,Featured image for CaseFile,1672,941,eager,webp,212192,True,
after,https://kujolang.ai/ecosystem/casefile/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
after,https://kujolang.ai/ecosystem/changebucket/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
after,https://kujolang.ai/ecosystem/changebucket/,https://kujolang.ai/images/changebucket-change-footprint-ad1139a9c399.webp,images/changebucket-change-footprint-ad1139a9c399.webp,Featured image for ChangeBucket,1672,941,eager,webp,227392,True,
after,https://kujolang.ai/ecosystem/changebucket/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
after,https://kujolang.ai/ecosystem/cms/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
after,https://kujolang.ai/ecosystem/cms/,https://kujolang.ai/images/cms-content-infrastructure-c165bfd8ddac.webp,images/cms-content-infrastructure-c165bfd8ddac.webp,Featured image for CMS,1672,941,eager,webp,345632,True,
after,https://kujolang.ai/ecosystem/cms/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
after,https://kujolang.ai/ecosystem/concord/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
after,https://kujolang.ai/ecosystem/concord/,https://kujolang.ai/images/concord-artifact-alignment-aee2b0f59ab7.webp,images/concord-artifact-alignment-aee2b0f59ab7.webp,Featured image for Concord,1672,941,eager,webp,285284,True,
after,https://kujolang.ai/ecosystem/concord/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
after,https://kujolang.ai/ecosystem/contentgraph/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
after,https://kujolang.ai/ecosystem/contentgraph/,https://kujolang.ai/images/contentgraph-content-network-322489785187.webp,images/contentgraph-content-network-322489785187.webp,Featured image for ContentGraph,1916,821,eager,webp,32876,True,
after,https://kujolang.ai/ecosystem/contentgraph/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
after,https://kujolang.ai/ecosystem/crud-api/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
after,https://kujolang.ai/ecosystem/crud-api/,https://kujolang.ai/images/crud-api-application-stack-c24f97341118.webp,images/crud-api-application-stack-c24f97341118.webp,Featured image for CRUD API Showcase,1672,941,eager,webp,177314,True,
after,https://kujolang.ai/ecosystem/crud-api/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
after,https://kujolang.ai/ecosystem/dispatch/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
after,https://kujolang.ai/ecosystem/dispatch/,https://kujolang.ai/images/dispatch-workflow-orchestration-639fb89b6f12.webp,images/dispatch-workflow-orchestration-639fb89b6f12.webp,Featured image for Dispatch,1916,821,eager,webp,263950,True,
after,https://kujolang.ai/ecosystem/dispatch/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,24,24,,svg,895,True,
after,https://kujolang.ai/ecosystem/eval/,https://kujolang.ai/assets/images/kujo-logomark.svg,assets/images/kujo-logomark.svg,,28,28,,svg,895,True,
after,https://kujolang.ai/ecosystem/eval/,https://kujolang.ai/images/eval-quality-gates-aecc112332c8.webp,images/eval-quality-gates-aecc112332c8.webp,Featured image for Eval,1672,941,eager,webp,192074,True,
