phase,url,local_status,production_status,robots_directives,canonical,canonical_target_status,sitemap_included,indexable,issues
after,https://kujolang.ai/,200,200,"default index,follow",https://kujolang.ai/,200,yes,yes,
after,https://kujolang.ai/contact/,200,200,"default index,follow",https://kujolang.ai/contact/,200,yes,yes,
after,https://kujolang.ai/ecosystem/,200,200,"default index,follow",https://kujolang.ai/ecosystem/,200,yes,yes,
after,https://kujolang.ai/ethos/,200,200,"default index,follow",https://kujolang.ai/ethos/,200,yes,yes,
after,https://kujolang.ai/writing/,200,200,"default index,follow",https://kujolang.ai/writing/,200,yes,yes,
after,https://kujolang.ai/ecosystem/agents-sdk/,200,200,"default index,follow",https://kujolang.ai/ecosystem/agents-sdk/,200,yes,yes,
after,https://kujolang.ai/ecosystem/ai-chat/,200,200,"default index,follow",https://kujolang.ai/ecosystem/ai-chat/,200,yes,yes,
after,https://kujolang.ai/ecosystem/ai-sdk/,200,200,"default index,follow",https://kujolang.ai/ecosystem/ai-sdk/,200,yes,yes,
after,https://kujolang.ai/ecosystem/casefile/,200,200,"default index,follow",https://kujolang.ai/ecosystem/casefile/,200,yes,yes,
after,https://kujolang.ai/ecosystem/changebucket/,200,200,"default index,follow",https://kujolang.ai/ecosystem/changebucket/,200,yes,yes,
after,https://kujolang.ai/ecosystem/cms/,200,200,"default index,follow",https://kujolang.ai/ecosystem/cms/,200,yes,yes,
after,https://kujolang.ai/ecosystem/concord/,200,200,"default index,follow",https://kujolang.ai/ecosystem/concord/,200,yes,yes,
after,https://kujolang.ai/ecosystem/crud-api/,200,200,"default index,follow",https://kujolang.ai/ecosystem/crud-api/,200,yes,yes,
after,https://kujolang.ai/ecosystem/dispatch/,200,200,"default index,follow",https://kujolang.ai/ecosystem/dispatch/,200,yes,yes,
after,https://kujolang.ai/ecosystem/eval/,200,200,"default index,follow",https://kujolang.ai/ecosystem/eval/,200,yes,yes,
after,https://kujolang.ai/ecosystem/fence/,200,200,"default index,follow",https://kujolang.ai/ecosystem/fence/,200,yes,yes,
after,https://kujolang.ai/ecosystem/howl/,200,200,"default index,follow",https://kujolang.ai/ecosystem/howl/,200,yes,yes,
after,https://kujolang.ai/ecosystem/kennel/,200,200,"default index,follow",https://kujolang.ai/ecosystem/kennel/,200,yes,yes,
after,https://kujolang.ai/ecosystem/kujo/,200,200,"default index,follow",https://kujolang.ai/ecosystem/kujo/,200,yes,yes,
after,https://kujolang.ai/ecosystem/leash/,200,200,"default index,follow",https://kujolang.ai/ecosystem/leash/,200,yes,yes,
after,https://kujolang.ai/ecosystem/lens/,200,200,"default index,follow",https://kujolang.ai/ecosystem/lens/,200,yes,yes,
after,https://kujolang.ai/ecosystem/mcp/,200,200,"default index,follow",https://kujolang.ai/ecosystem/mcp/,200,yes,yes,
after,https://kujolang.ai/ecosystem/muzzle/,200,200,"default index,follow",https://kujolang.ai/ecosystem/muzzle/,200,yes,yes,
after,https://kujolang.ai/ecosystem/packwrite/,200,200,"default index,follow",https://kujolang.ai/ecosystem/packwrite/,200,yes,yes,
after,https://kujolang.ai/ecosystem/patchbrief/,200,200,"default index,follow",https://kujolang.ai/ecosystem/patchbrief/,200,yes,yes,
after,https://kujolang.ai/ecosystem/rag/,200,200,"default index,follow",https://kujolang.ai/ecosystem/rag/,200,yes,yes,
after,https://kujolang.ai/ecosystem/redact/,200,200,"default index,follow",https://kujolang.ai/ecosystem/redact/,200,yes,yes,
after,https://kujolang.ai/ecosystem/relay/,200,200,"default index,follow",https://kujolang.ai/ecosystem/relay/,200,yes,yes,
after,https://kujolang.ai/ecosystem/runledger/,200,200,"default index,follow",https://kujolang.ai/ecosystem/runledger/,200,yes,yes,
after,https://kujolang.ai/ecosystem/scent/,200,200,"default index,follow",https://kujolang.ai/ecosystem/scent/,200,yes,yes,
after,https://kujolang.ai/ecosystem/scout/,200,200,"default index,follow",https://kujolang.ai/ecosystem/scout/,200,yes,yes,
after,https://kujolang.ai/ecosystem/shipcheck/,200,200,"default index,follow",https://kujolang.ai/ecosystem/shipcheck/,200,yes,yes,
after,https://kujolang.ai/ecosystem/sitekit/,200,200,"default index,follow",https://kujolang.ai/ecosystem/sitekit/,200,yes,yes,
after,https://kujolang.ai/ecosystem/spec/,200,200,"default index,follow",https://kujolang.ai/ecosystem/spec/,200,yes,yes,
after,https://kujolang.ai/ecosystem/ssg/,200,200,"default index,follow",https://kujolang.ai/ecosystem/ssg/,200,yes,yes,
after,https://kujolang.ai/ecosystem/totalrecall/,200,200,"default index,follow",https://kujolang.ai/ecosystem/totalrecall/,200,yes,yes,
after,https://kujolang.ai/ecosystem/tribunal/,200,200,"default index,follow",https://kujolang.ai/ecosystem/tribunal/,200,yes,yes,
after,https://kujolang.ai/ecosystem/ward/,200,200,"default index,follow",https://kujolang.ai/ecosystem/ward/,200,yes,yes,
after,https://kujolang.ai/ecosystem/watchdog/,200,200,"default index,follow",https://kujolang.ai/ecosystem/watchdog/,200,yes,yes,
after,https://kujolang.ai/ecosystem/workcell/,200,200,"default index,follow",https://kujolang.ai/ecosystem/workcell/,200,yes,yes,
