phase,url,page_type,purpose,audience,intent,topic_entity,word_count,original_evidence,currentness,citation_worthiness,competing_url,gap,action
baseline,https://kujolang.ai/,home,Introduce Kujo and route visitors,Developers and AI-software teams,brand/category,Kujo programming language,69,First-party project information,No rendered modified date,Low to medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
baseline,https://kujolang.ai/contact/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Contact,140,First-party project information,No rendered modified date,Low to medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
baseline,https://kujolang.ai/ecosystem/,collection,Explain and index the ecosystem,Developers and AI-software teams,exploration,Kujo ecosystem,755,First-party project information,No rendered modified date,Low to medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
baseline,https://kujolang.ai/ethos/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Ethos,573,First-party project information,No rendered modified date,Low to medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
baseline,https://kujolang.ai/writing/,writing-index,List Kujo technical writing,Developers and AI-software teams,informational,Kujo writing,62,No published articles,No rendered modified date,Low to medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
baseline,https://kujolang.ai/ecosystem/agents-sdk/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Agents SDK,128,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
baseline,https://kujolang.ai/ecosystem/ai-chat/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,AI Chat,134,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
baseline,https://kujolang.ai/ecosystem/ai-sdk/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,AI SDK,134,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
baseline,https://kujolang.ai/ecosystem/casefile/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,CaseFile,135,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
baseline,https://kujolang.ai/ecosystem/changebucket/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,ChangeBucket,135,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
