phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://kujolang.ai/,Kujo — AI-Native Programming Language | Kujolang.ai,Trust at the speed of AI,tool discovery and evaluation,Trust at the speed of AI,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/contact/,Contact the Kujo Team | Kujolang.ai,Contact,tool discovery and evaluation,Contact,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/ability/,Kujo Ability — Portable Operation Contracts | Kujolang.ai,Ability,tool discovery and evaluation,Ability,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/agents-sdk/,Agents SDK — Kujo Ecosystem | Kujolang.ai,Agents SDK,tool discovery and evaluation,Agents SDK,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/ai-chat/,AI Chat — Kujo Ecosystem | Kujolang.ai,AI Chat,tool discovery and evaluation,AI Chat,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/ai-sdk/,AI SDK — Kujo Ecosystem | Kujolang.ai,AI SDK,tool discovery and evaluation,AI SDK,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/assetworks/,AssetWorks — Kujo Ecosystem | Kujolang.ai,AssetWorks,tool discovery and evaluation,AssetWorks,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/bluepencil/,BluePencil — Kujo Ecosystem | Kujolang.ai,BluePencil,tool discovery and evaluation,BluePencil,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/casefile/,CaseFile — Kujo Ecosystem | Kujolang.ai,CaseFile,tool discovery and evaluation,CaseFile,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/changebucket/,ChangeBucket — Kujo Ecosystem | Kujolang.ai,ChangeBucket,tool discovery and evaluation,ChangeBucket,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/cms/,Kujo CMS 1.1.0 — Agent-Ready Content Management | Kujolang.ai,CMS,tool discovery and evaluation,CMS,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/concord/,Concord — Kujo Ecosystem | Kujolang.ai,Concord,tool discovery and evaluation,Concord,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/contentgraph/,ContentGraph — Kujo Ecosystem | Kujolang.ai,ContentGraph,tool discovery and evaluation,ContentGraph,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/crud-api/,CRUD API Showcase — Kujo Ecosystem | Kujolang.ai,CRUD API Showcase,tool discovery and evaluation,CRUD API Showcase,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/dispatch/,Dispatch — Kujo Ecosystem | Kujolang.ai,Dispatch,tool discovery and evaluation,Dispatch,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/dossier/,Dossier — Kujo Ecosystem | Kujolang.ai,Dossier,tool discovery and evaluation,Dossier,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/eval/,Eval — Kujo Ecosystem | Kujolang.ai,Eval,tool discovery and evaluation,Eval,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/fence/,Fence — Kujo Ecosystem | Kujolang.ai,Fence,tool discovery and evaluation,Fence,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/galleypack/,GalleyPack — Kujo Ecosystem | Kujolang.ai,GalleyPack,tool discovery and evaluation,GalleyPack,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/howl/,Howl — Kujo Ecosystem | Kujolang.ai,Howl,tool discovery and evaluation,Howl,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/,Ecosystem | Kujolang.ai,Ecosystem,tool discovery and evaluation,Ecosystem,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/kennel/,Kennel — Kujo Ecosystem | Kujolang.ai,Kennel,tool discovery and evaluation,Kennel,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/kujo/,Kujo — Kujo Ecosystem | Kujolang.ai,Kujo,tool discovery and evaluation,Kujo,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/leash/,Leash — Kujo Ecosystem | Kujolang.ai,Leash,tool discovery and evaluation,Leash,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/lens/,Lens — Kujo Ecosystem | Kujolang.ai,Lens,tool discovery and evaluation,Lens,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/mcp/,MCP — Kujo Ecosystem | Kujolang.ai,MCP,tool discovery and evaluation,MCP,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/muzzle/,Muzzle — Kujo Ecosystem | Kujolang.ai,Muzzle,tool discovery and evaluation,Muzzle,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/packwrite/,PackWrite — Kujo Ecosystem | Kujolang.ai,PackWrite,tool discovery and evaluation,PackWrite,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/paperclip/,"Kujo for Paperclip — Context, Review, and Failure Evidence | Kujolang.ai",Kujo for Paperclip,tool discovery and evaluation,Kujo for Paperclip,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://kujolang.ai/ecosystem/patchbrief/,PatchBrief — Kujo Ecosystem | Kujolang.ai,PatchBrief,tool discovery and evaluation,PatchBrief,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
