phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
baseline,https://kujolang.ai/,templates/page-home.html,home,200,,yes,"default index,follow",https://kujolang.ai/,200,Kujo — AI-Native Programming Language | Kujolang.ai,51,"Kujo is the programming language for AI-native software, local-first automation, and agentic workflows.",103,Trust at the speed of AI,H2:Quick Install > H2:Give this prompt to your agent > H1:Trust at the speed of AI > H2:Introduction to Kujo,104,en,,,Kujo Team,no,Organization|WebSite,932,32,7,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,0,no,yes,no,no,ac433f1e5c7f1d64471a7cb7a8ee96778e87553f7b4417107e42e26178bcdfd2,
baseline,https://kujolang.ai/contact/,generated route,page,200,,yes,"default index,follow",https://kujolang.ai/contact/,200,Contact the Kujo Team | Kujolang.ai,35,"Talk with the Kujo team about the language, ecosystem, community, partnerships, or technical questions.",103,Contact,H2:Quick Install > H2:Give this prompt to your agent > H1:Contact > H2:Send the right signal. > H3:General > H3:Technical > H3:Security > H2:Before you send,160,en,,,Kujo Team,no,ContactPage|Organization,699,30,9,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,1,no,yes,no,no,c55561a6e7d0f88a0ebff5937868ace21dfacf2f34caa84f152167f0d45b04f7,
baseline,https://kujolang.ai/ecosystem/ability/,generated route,software-detail,200,,yes,"default index,follow",https://kujolang.ai/ecosystem/ability/,200,Kujo Ability — Portable Operation Contracts | Kujolang.ai,57,"Portable, versioned operation contracts with typed schemas, declared effects, retry semantics, policy gates, approvals, idempotency, and canonical receipts.",156,Ability,"H2:Quick Install > H2:Give this prompt to your agent > H1:Ability > H2:What it does > H2:Why it belongs in Kujo > H2:What it includes > H2:Where it works today > H2:Local, hosted, and customer-hosted use > H2:CMS and SSG > H2:Operating boundary > H2:Try an operation locally > H2:Learn more > H2:Source and catalog",784,en,,,Kujo Team,no,Organization|SoftwareSourceCode,10,31,13,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,078a5312bf0bc22ac3add8ea9020a66c2e68687ebfe7af0f2ff420ca506628d5,
baseline,https://kujolang.ai/ecosystem/agents-sdk/,generated route,software-detail,200,,yes,"default index,follow",https://kujolang.ai/ecosystem/agents-sdk/,200,Agents SDK — Kujo Ecosystem | Kujolang.ai,41,"Agent runners, tools, approvals, handoffs, tracing, sessions, memory, retrieval, artifact stores, budgets, and offline fixtures.",128,Agents SDK,H2:Quick Install > H2:Give this prompt to your agent > H1:Agents SDK > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Ability integration > H2:Learn more > H2:Source and catalog,224,en,,,Kujo Team,no,Organization|SoftwareSourceCode,9,32,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,d97bb76453a353523ac3799448e56e00245b5fd9e246b2633a08b8cd788ecc92,
baseline,https://kujolang.ai/ecosystem/ai-chat/,generated route,software-detail,200,,yes,"default index,follow",https://kujolang.ai/ecosystem/ai-chat/,200,AI Chat — Kujo Ecosystem | Kujolang.ai,38,"A local multi-provider chat application with encrypted provider profiles, SQLite history, streaming, comparison, transcription, and fixture smokes.",147,AI Chat,H2:Quick Install > H2:Give this prompt to your agent > H1:AI Chat > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,153,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,31,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,e09f21d0048224372b929c5162b875c3fd841170fc3daca91e949d4e10271415,
baseline,https://kujolang.ai/ecosystem/ai-sdk/,generated route,software-detail,200,,yes,"default index,follow",https://kujolang.ai/ecosystem/ai-sdk/,200,AI SDK — Kujo Ecosystem | Kujolang.ai,37,"Provider-normalized chat and embeddings contracts with presets, fixtures, retries, streaming, redaction, budgets, and telemetry hooks.",134,AI SDK,H2:Quick Install > H2:Give this prompt to your agent > H1:AI SDK > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,153,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,31,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,12ef459fdeebea391a3f3024131d9302faefa334fd8bb7486425debdb68103ae,
baseline,https://kujolang.ai/ecosystem/assetworks/,generated route,software-detail,200,,yes,"default index,follow",https://kujolang.ai/ecosystem/assetworks/,200,AssetWorks — Kujo Ecosystem | Kujolang.ai,41,"A local-first media production ledger for asset planning, immutable provenance, accessibility artifacts, and checksum-backed validation.",136,AssetWorks,H2:Quick Install > H2:Give this prompt to your agent > H1:AssetWorks > H2:What it does > H2:Production evidence > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,253,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,31,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,be2d5da4c6e7e43a74d001477d52a0c701834bc3d3fa45f72f23743aaac739d3,
baseline,https://kujolang.ai/ecosystem/bluepencil/,generated route,software-detail,200,,yes,"default index,follow",https://kujolang.ai/ecosystem/bluepencil/,200,BluePencil — Kujo Ecosystem | Kujolang.ai,41,"A Kujo-native editorial review and quality-calibration system that preserves independent judgment, blockers, and structured verdicts.",133,BluePencil,H2:Quick Install > H2:Give this prompt to your agent > H1:BluePencil > H2:What it does > H2:Calibrated review > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,237,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,31,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,a4ea2f833054faecfe13b36e3b07cfc76ce888f7e2e1bbaefcf5a5e5552e6033,
baseline,https://kujolang.ai/ecosystem/casefile/,generated route,software-detail,200,,yes,"default index,follow",https://kujolang.ai/ecosystem/casefile/,200,CaseFile — Kujo Ecosystem | Kujolang.ai,39,"Reproducible failure and incident bundles with provenance, redaction, logs, reproduction notes, JSON, Markdown, and handoffs.",125,CaseFile,H2:Quick Install > H2:Give this prompt to your agent > H1:CaseFile > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,154,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,31,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,d9544fabcecbf4c56b6f835bf79810f3b257a37c913524bcfabd8a2f37419c80,
baseline,https://kujolang.ai/ecosystem/changebucket/,generated route,software-detail,200,,yes,"default index,follow",https://kujolang.ai/ecosystem/changebucket/,200,ChangeBucket — Kujo Ecosystem | Kujolang.ai,43,"Change-footprint and blast-radius reports covering churn, categories, generated files, CI, deletions, dependencies, and budgets.",128,ChangeBucket,H2:Quick Install > H2:Give this prompt to your agent > H1:ChangeBucket > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,154,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,31,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,3b0833a12603afe5c8c963e3e808d6de67da902c396c0038f8e62e46524e34fa,
