phase,url,page_type,purpose,audience,intent,topic_entity,word_count,original_evidence,currentness,citation_worthiness,competing_url,gap,action
after,https://kujolang.ai/,home,Introduce Kujo and route visitors,Developers and AI-software teams,brand/category,Kujo programming language,128,First-party project information,No rendered modified date,Low to medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/contact/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Contact,184,First-party project information,No rendered modified date,Low to medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/ability/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Ability,808,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/agents-sdk/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Agents SDK,248,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/ai-chat/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,AI Chat,177,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/ai-sdk/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,AI SDK,177,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/assetworks/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,AssetWorks,277,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/bluepencil/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,BluePencil,261,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/casefile/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,CaseFile,178,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/changebucket/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,ChangeBucket,178,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
