phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://kujolang.ai/,Kujo — AI-Native Programming Language | Kujolang.ai,Trust at the speed of AI,product discovery / learning,Trust at the speed of AI,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://kujolang.ai/contact/,Contact the Kujo Team | Kujolang.ai,Contact,product discovery / learning,Contact,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://kujolang.ai/ecosystem/ability/,Kujo Ability — Portable Operation Contracts | Kujolang.ai,Ability,product discovery / learning,Ability,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://kujolang.ai/ecosystem/agents-sdk/,Agents SDK — Kujo Ecosystem | Kujolang.ai,Agents SDK,product discovery / learning,Agents SDK,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://kujolang.ai/ecosystem/ai-chat/,AI Chat — Kujo Ecosystem | Kujolang.ai,AI Chat,product discovery / learning,AI Chat,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://kujolang.ai/ecosystem/ai-sdk/,AI SDK — Kujo Ecosystem | Kujolang.ai,AI SDK,product discovery / learning,AI SDK,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://kujolang.ai/ecosystem/assetworks/,AssetWorks — Kujo Ecosystem | Kujolang.ai,AssetWorks,product discovery / learning,AssetWorks,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://kujolang.ai/ecosystem/bluepencil/,BluePencil — Kujo Ecosystem | Kujolang.ai,BluePencil,product discovery / learning,BluePencil,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://kujolang.ai/ecosystem/casefile/,CaseFile — Kujo Ecosystem | Kujolang.ai,CaseFile,product discovery / learning,CaseFile,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://kujolang.ai/ecosystem/changebucket/,ChangeBucket — Kujo Ecosystem | Kujolang.ai,ChangeBucket,product discovery / learning,ChangeBucket,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://kujolang.ai/ecosystem/cms/,Kujo CMS 1.1.0 — Agent-Ready Content Management | Kujolang.ai,CMS,product discovery / learning,CMS,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://kujolang.ai/ecosystem/concord/,Concord — Kujo Ecosystem | Kujolang.ai,Concord,product discovery / learning,Concord,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://kujolang.ai/ecosystem/contentgraph/,ContentGraph — Kujo Ecosystem | Kujolang.ai,ContentGraph,product discovery / learning,ContentGraph,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://kujolang.ai/ecosystem/crud-api/,CRUD API Showcase — Kujo Ecosystem | Kujolang.ai,CRUD API Showcase,product discovery / learning,CRUD API Showcase,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://kujolang.ai/ecosystem/dispatch/,Dispatch — Kujo Ecosystem | Kujolang.ai,Dispatch,product discovery / learning,Dispatch,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
