phase,url,page_depth,internal_inbound_links,orphan,broken_internal_links,robots_allowed,issues
after,https://kujolang.ai/,0,152,no,0,yes,
after,https://kujolang.ai/contact/,1,114,no,0,yes,
after,https://kujolang.ai/ecosystem/,1,148,no,0,yes,
after,https://kujolang.ai/ethos/,1,114,no,0,yes,
after,https://kujolang.ai/writing/,1,114,no,0,yes,
after,https://kujolang.ai/ecosystem/agents-sdk/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/ai-chat/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/ai-sdk/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/casefile/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/changebucket/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/cms/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/concord/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/crud-api/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/dispatch/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/eval/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/fence/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/howl/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/kennel/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/kujo/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/leash/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/lens/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/mcp/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/muzzle/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/packwrite/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/patchbrief/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/rag/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/redact/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/runledger/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/scent/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/scout/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/shipcheck/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/sitekit/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/spec/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/ssg/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/totalrecall/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/ward/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/watchdog/,2,3,no,0,yes,
after,https://kujolang.ai/ecosystem/workcell/,2,3,no,0,yes,
