phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
after,https://kujolang.ai/,templates/page-home.html,home,200,,yes,"default index,follow",https://kujolang.ai/,200,Kujo — AI-Native Programming Language | Kujolang.ai,51,"Kujo is the programming language for AI-native software, local-first automation, and agentic workflows.",103,Trust at the speed of AI,H2:Quick Install > H2:Give this prompt to your agent > H1:Trust at the speed of AI > H2:Introduction to Kujo,128,en,,,Kujo Team,no,Organization|WebSite,776,32,9,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,0,no,yes,no,no,42dc307a5d0900c8686053fc9aa8313619df9230b81db02788af3a6c814f7b6b,
after,https://kujolang.ai/contact/,content/pages/02-contact.md,page,200,,yes,"default index,follow",https://kujolang.ai/contact/,200,Contact the Kujo Team | Kujolang.ai,35,"Talk with the Kujo team about the language, ecosystem, community, partnerships, or technical questions.",103,Contact,H2:Quick Install > H2:Give this prompt to your agent > H1:Contact > H2:Send the right signal. > H3:General > H3:Technical > H3:Security > H2:Before you send,184,en,,,Kujo Team,no,ContactPage|Organization,582,30,11,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,1,no,yes,no,no,9d734c0b65eef745a85fd4017f0d569ddc1e0c9260aee7444f522061b608a24b,
after,https://kujolang.ai/ecosystem/ability/,content/ecosystem/16-ability.md,software-detail,200,,yes,"default index,follow",https://kujolang.ai/ecosystem/ability/,200,Kujo Ability — Portable Operation Contracts | Kujolang.ai,57,"Portable, versioned operation contracts with typed schemas, declared effects, retry semantics, policy gates, approvals, idempotency, and canonical receipts.",156,Ability,"H2:Quick Install > H2:Give this prompt to your agent > H1:Ability > H2:What it does > H2:Why it belongs in Kujo > H2:What it includes > H2:Where it works today > H2:Local, hosted, and customer-hosted use > H2:CMS and SSG > H2:Operating boundary > H2:Try an operation locally > H2:Learn more > H2:Source and catalog",808,en,,,Kujo Team,no,Organization|SoftwareSourceCode,10,31,15,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,dd1b5807fa06b3c0125fb0cddd861f715a0f7c2c1c330d9b9f198253808bd2a1,
after,https://kujolang.ai/ecosystem/agents-sdk/,content/ecosystem/11-agents-sdk.md,software-detail,200,,yes,"default index,follow",https://kujolang.ai/ecosystem/agents-sdk/,200,Agents SDK — Kujo Ecosystem | Kujolang.ai,41,"Agent runners, tools, approvals, handoffs, tracing, sessions, memory, retrieval, artifact stores, budgets, and offline fixtures.",128,Agents SDK,H2:Quick Install > H2:Give this prompt to your agent > H1:Agents SDK > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Ability integration > H2:Learn more > H2:Source and catalog,248,en,,,Kujo Team,no,Organization|SoftwareSourceCode,9,32,10,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,f1560020b7ed6ed1e6a213f3a3e79ea684ab86410325a6ca41c87eb65803a5c4,
after,https://kujolang.ai/ecosystem/ai-chat/,content/ecosystem/40-ai-chat.md,software-detail,200,,yes,"default index,follow",https://kujolang.ai/ecosystem/ai-chat/,200,AI Chat — Kujo Ecosystem | Kujolang.ai,38,"A local multi-provider chat application with encrypted provider profiles, SQLite history, streaming, comparison, transcription, and fixture smokes.",147,AI Chat,H2:Quick Install > H2:Give this prompt to your agent > H1:AI Chat > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,177,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,31,10,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,c15ae084a9f43969f2fecf087476a2c260580504c8630db5a4b424615e37c3a8,
after,https://kujolang.ai/ecosystem/ai-sdk/,content/ecosystem/10-ai-sdk.md,software-detail,200,,yes,"default index,follow",https://kujolang.ai/ecosystem/ai-sdk/,200,AI SDK — Kujo Ecosystem | Kujolang.ai,37,"Provider-normalized chat and embeddings contracts with presets, fixtures, retries, streaming, redaction, budgets, and telemetry hooks.",134,AI SDK,H2:Quick Install > H2:Give this prompt to your agent > H1:AI SDK > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,177,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,31,10,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,0e2a3873bd57156dcd4d662c44f332a042a40b6ae3312745706dc5e75695964b,
after,https://kujolang.ai/ecosystem/assetworks/,content/ecosystem/47-assetworks.md,software-detail,200,,yes,"default index,follow",https://kujolang.ai/ecosystem/assetworks/,200,AssetWorks — Kujo Ecosystem | Kujolang.ai,41,"A local-first media production ledger for asset planning, immutable provenance, accessibility artifacts, and checksum-backed validation.",136,AssetWorks,H2:Quick Install > H2:Give this prompt to your agent > H1:AssetWorks > H2:What it does > H2:Production evidence > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,277,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,31,10,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,50e56eb2cc9f7b01be681d7561218731e2b37ec86c3d65a365dd65aebfb4a89a,
after,https://kujolang.ai/ecosystem/bluepencil/,content/ecosystem/48-bluepencil.md,software-detail,200,,yes,"default index,follow",https://kujolang.ai/ecosystem/bluepencil/,200,BluePencil — Kujo Ecosystem | Kujolang.ai,41,"A Kujo-native editorial review and quality-calibration system that preserves independent judgment, blockers, and structured verdicts.",133,BluePencil,H2:Quick Install > H2:Give this prompt to your agent > H1:BluePencil > H2:What it does > H2:Calibrated review > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,261,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,31,10,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,3c6c46c7165097c22d523ab9de4e18209f74059a89233515e01e1b5fcff13ff0,
after,https://kujolang.ai/ecosystem/casefile/,content/ecosystem/22-casefile.md,software-detail,200,,yes,"default index,follow",https://kujolang.ai/ecosystem/casefile/,200,CaseFile — Kujo Ecosystem | Kujolang.ai,39,"Reproducible failure and incident bundles with provenance, redaction, logs, reproduction notes, JSON, Markdown, and handoffs.",125,CaseFile,H2:Quick Install > H2:Give this prompt to your agent > H1:CaseFile > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,178,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,31,10,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,d7e5f6b73303b5bcc70830e2ceb98e71b223a4a1a4caa97cc5d10d01f3ae8173,
after,https://kujolang.ai/ecosystem/changebucket/,content/ecosystem/27-changebucket.md,software-detail,200,,yes,"default index,follow",https://kujolang.ai/ecosystem/changebucket/,200,ChangeBucket — Kujo Ecosystem | Kujolang.ai,43,"Change-footprint and blast-radius reports covering churn, categories, generated files, CI, deletions, dependencies, and budgets.",128,ChangeBucket,H2:Quick Install > H2:Give this prompt to your agent > H1:ChangeBucket > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,178,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,31,10,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,c8cbb4f8bb6a3282ea7c577e373f1769f1dbd799054704528eca6e5d1b20b70b,
