phase,source_url,source_variant,http_status,target_url,chain_length,final_status,canonical_target,query_preserved,verification,issues
after,http://kujolang.ai/,apex HTTP,301,https://kujolang.ai/,1,200,yes,n/a,live request with redirects followed,
after,https://kujolang.ai/,apex HTTPS,200,https://kujolang.ai/,0,200,yes,n/a,live request with redirects followed,
after,http://www.kujolang.ai/,www HTTP,301,https://kujolang.ai/,2,200,yes,n/a,live request with redirects followed,
after,https://www.kujolang.ai/,www HTTPS,301,https://kujolang.ai/,1,200,yes,n/a,live request with redirects followed,
after,https://kujolang.ai/ecosystem/kujo/,nested canonical,200,https://kujolang.ai/ecosystem/kujo/,0,200,yes,n/a,live request with redirects followed,
after,https://kujolang.ai/ecosystem/kujo,nested no trailing slash,301,https://kujolang.ai/ecosystem/kujo/,1,200,yes,n/a,live request with redirects followed,
after,https://kujolang.ai/ecosystem/kujo.html,flat HTML alias,404,https://kujolang.ai/ecosystem/kujo.html,0,404,n/a,n/a,live request with redirects followed,
after,https://kujolang.ai/ecosystem/kujo/?audit=1,query string,200,https://kujolang.ai/ecosystem/kujo/?audit=1,0,200,yes,yes,live request with redirects followed,
after,https://kujolang.ai/robots.txt,robots,200,https://kujolang.ai/robots.txt,0,200,yes,n/a,live request with redirects followed,
after,https://kujolang.ai/sitemap.xml,sitemap,200,https://kujolang.ai/sitemap.xml,0,200,yes,n/a,live request with redirects followed,
after,https://kujolang.ai/feed/index.xml,feed,200,https://kujolang.ai/feed/index.xml,0,200,yes,n/a,live request with redirects followed,
after,https://kujolang.ai/llms.txt,llms experimental,200,https://kujolang.ai/llms.txt,0,200,yes,n/a,live request with redirects followed,
after,https://kujolang.ai/seo-audit-missing-route-20260810/,404,404,https://kujolang.ai/seo-audit-missing-route-20260810/,0,404,n/a,n/a,live request with redirects followed,
