phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action
after,https://kujolang.ai/,https://docs.kujolang.ai,Docs,nav,200,https://docs.kujolang.ai,0,live request,,none
after,https://kujolang.ai/,https://docs.kujolang.ai,Docs,nav,200,https://docs.kujolang.ai,0,live request,,none
after,https://kujolang.ai/,https://x.com/kujolang,Kujo on X,nav,200,https://x.com/kujolang,0,live request,,none
after,https://kujolang.ai/,https://github.com/kujolang,Kujo on GitHub,nav,200,https://github.com/kujolang,0,live request,,none
after,https://kujolang.ai/,https://discord.gg/RqDgyb3BX,Kujo on Discord,nav,200,https://discord.com/invite/RqDgyb3BX,1,live request,,none
after,https://kujolang.ai/contact/,https://docs.kujolang.ai,Docs,nav,200,https://docs.kujolang.ai,0,live request,,none
after,https://kujolang.ai/contact/,https://docs.kujolang.ai,Docs,nav,200,https://docs.kujolang.ai,0,live request,,none
after,https://kujolang.ai/contact/,https://github.com/kujolang,Browse GitHub,article,200,https://github.com/kujolang,0,live request,,none
after,https://kujolang.ai/contact/,https://github.com/kujolang/kujo/blob/main/docs/SECURITY_RESPONSE.md,Read security guidance,article,200,https://github.com/kujolang/kujo/blob/main/docs/SECURITY_RESPONSE.md,0,live request,,none
after,https://kujolang.ai/contact/,https://x.com/kujolang,Kujo on X,nav,200,https://x.com/kujolang,0,live request,,none
after,https://kujolang.ai/contact/,https://github.com/kujolang,Kujo on GitHub,nav,200,https://github.com/kujolang,0,live request,,none
after,https://kujolang.ai/contact/,https://discord.gg/RqDgyb3BX,Kujo on Discord,nav,200,https://discord.com/invite/RqDgyb3BX,1,live request,,none
after,https://kujolang.ai/ecosystem/,https://docs.kujolang.ai,Docs,nav,200,https://docs.kujolang.ai,0,live request,,none
after,https://kujolang.ai/ecosystem/,https://docs.kujolang.ai,Docs,nav,200,https://docs.kujolang.ai,0,live request,,none
after,https://kujolang.ai/ecosystem/,https://x.com/kujolang,Kujo on X,nav,200,https://x.com/kujolang,0,live request,,none
after,https://kujolang.ai/ecosystem/,https://github.com/kujolang,Kujo on GitHub,nav,200,https://github.com/kujolang,0,live request,,none
after,https://kujolang.ai/ecosystem/,https://discord.gg/RqDgyb3BX,Kujo on Discord,nav,200,https://discord.com/invite/RqDgyb3BX,1,live request,,none
after,https://kujolang.ai/ethos/,https://docs.kujolang.ai,Docs,nav,200,https://docs.kujolang.ai,0,live request,,none
after,https://kujolang.ai/ethos/,https://docs.kujolang.ai,Docs,nav,200,https://docs.kujolang.ai,0,live request,,none
after,https://kujolang.ai/ethos/,https://x.com/kujolang,Kujo on X,nav,200,https://x.com/kujolang,0,live request,,none
after,https://kujolang.ai/ethos/,https://github.com/kujolang,Kujo on GitHub,nav,200,https://github.com/kujolang,0,live request,,none
after,https://kujolang.ai/ethos/,https://discord.gg/RqDgyb3BX,Kujo on Discord,nav,200,https://discord.com/invite/RqDgyb3BX,1,live request,,none
after,https://kujolang.ai/writing/,https://docs.kujolang.ai,Docs,nav,200,https://docs.kujolang.ai,0,live request,,none
after,https://kujolang.ai/writing/,https://docs.kujolang.ai,Docs,nav,200,https://docs.kujolang.ai,0,live request,,none
after,https://kujolang.ai/writing/,https://x.com/kujolang,X,main,200,https://x.com/kujolang,0,live request,,none
after,https://kujolang.ai/writing/,https://x.com/kujolang,Kujo on X,nav,200,https://x.com/kujolang,0,live request,,none
after,https://kujolang.ai/writing/,https://github.com/kujolang,Kujo on GitHub,nav,200,https://github.com/kujolang,0,live request,,none
after,https://kujolang.ai/writing/,https://discord.gg/RqDgyb3BX,Kujo on Discord,nav,200,https://discord.com/invite/RqDgyb3BX,1,live request,,none
after,https://kujolang.ai/ecosystem/agents-sdk/,https://docs.kujolang.ai,Docs,nav,200,https://docs.kujolang.ai,0,live request,,none
after,https://kujolang.ai/ecosystem/agents-sdk/,https://docs.kujolang.ai,Docs,nav,200,https://docs.kujolang.ai,0,live request,,none
after,https://kujolang.ai/ecosystem/agents-sdk/,https://github.com/kujolang/agents-sdk,View on GitHub,aside,200,https://github.com/kujolang/agents-sdk,0,live request,noopener,none
after,https://kujolang.ai/ecosystem/agents-sdk/,https://x.com/kujolang,Kujo on X,nav,200,https://x.com/kujolang,0,live request,,none
