id,phase,category,severity,affected_urls,affected_count,evidence,expected_benefit,confidence,difficulty,recommended_action,owner,status
SEO-001,baseline,canonicalization,P1,all 38 canonical routes plus flat/non-trailing variants,38,"redirects.csv baseline; raw baseline output; 38 flat aliases",Consolidate duplicate URL signals and crawl paths,High,Low,Disable flat aliases and verify GitHub Pages trailing-slash redirects,Engineering,fixed locally; production verified after deployment
SEO-002,baseline,external links and authority,P1,"https://kujolang.ai/ecosystem/leash/|https://kujolang.ai/ecosystem/ward/",2,"anonymous production requests returned 404; private repositories may also present 404",Restore useful public source destinations or accurately disclose access,High,Medium,Owner must choose public visibility replacement URL or page treatment,Owner,blocked on owner decision
SEO-003,baseline,media,P2,38 canonical pages,71,baseline image-audit.csv and baseline-summary.json,Reduce layout uncertainty and improve media semantics/performance,High,Low,Emit actual width and height for hero and card media,Engineering,fixed and verified
SEO-004,baseline,structured data,P2,37 non-home pages,37,"baseline schema inventory: 33 BlogPosting and four non-home WebSite classifications",Improve machine interpretation without fabricating rich-result eligibility,High,Medium,Use page-purpose types and visible repository properties,Engineering,fixed and verified
SEO-005,baseline,metadata,P2,"https://kujolang.ai/|https://kujolang.ai/ecosystem/",2,baseline.csv duplicate_description=yes,Give each index page a distinct accurate search summary,High,Low,Add ecosystem-specific description,Engineering,fixed and verified
SEO-006,baseline,metadata,P2,https://kujolang.ai/,1,"brand-only title Kujolang.ai; Google title-link guidance",Clarify the page topic in search presentation,Medium,Low,Use a concise descriptive branded home title,Engineering,fixed and verified
SEO-007,baseline,metadata,P2,all 38 canonical pages,38,"rendered meta keywords; Google documents that it is unused",Remove obsolete misleading output,High,Low,Remove meta-keywords from shared layout,Engineering,fixed and verified
SEO-008,baseline,internal linking,P2,all 38 canonical pages,38,"shared brand links rendered index.html targets",Align internal signals with canonical root,High,Low,Point shared home links to /,Engineering,fixed and verified
SEO-009,after,performance,P2,"https://kujolang.ai/|https://kujolang.ai/ecosystem/|https://kujolang.ai/ecosystem/kujo/",3,"after Lighthouse LCP 3757/6382/3682 ms in one mobile lab run",Improve perceived load and field performance potential,Medium,Medium,Reduce CSS critical path and add responsive media then repeat comparable runs,Engineering,open recommendation
SEO-010,after,content and authority,P2,https://kujolang.ai/writing/,1,"62 visible words and no published articles",Create citable first-party evidence and informational discovery paths,High,High,Publish verified launch notes guides examples or field reports when editorially ready,Editorial,blocked on editorial material
SEO-011,after,measurement,P2,sitewide,38,"Search Console analytics logs field CWV backlinks and AI sessions unavailable",Enable outcome measurement without inference,High,Medium,Connect owner-approved data sources and run dated 7/28/60/90-day comparisons,Owner,NOT AVAILABLE — DATA ACCESS REQUIRED
