phase,url,page_type,purpose,audience,intent,topic_entity,word_count,original_evidence,currentness,citation_worthiness,competing_url,gap,action
after,https://kujolang.ai/,home,Introduce Kujo and route visitors,Developers and AI-software teams,brand/category,Kujo programming language,69,First-party project information,No rendered modified date,Low to medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/contact/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Contact,140,First-party project information,No rendered modified date,Low to medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/agents-sdk/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Agents SDK,127,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/ai-chat/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,AI Chat,133,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/ai-sdk/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,AI SDK,133,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/casefile/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,CaseFile,134,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/changebucket/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,ChangeBucket,134,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/cms/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,CMS,131,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/concord/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Concord,131,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/contentgraph/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,ContentGraph,241,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/crud-api/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,CRUD API Showcase,135,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/dispatch/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Dispatch,133,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/eval/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Eval,132,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/fence/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Fence,125,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/howl/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Howl,131,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/,collection,Explain and index the ecosystem,Developers and AI-software teams,exploration,Kujo ecosystem,1194,First-party project information,No rendered modified date,Low to medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/kennel/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Kennel,133,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/kujo/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Kujo,135,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/leash/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Leash,150,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/lens/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Lens,130,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/mcp/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,MCP,136,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/muzzle/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Muzzle,136,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/packwrite/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,PackWrite,130,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/patchbrief/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,PatchBrief,131,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/primitives/,collection,Explain and index the ecosystem,Developers and AI-software teams,exploration,Kujo ecosystem,331,First-party project information,No rendered modified date,Low to medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/rag/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,RAG,135,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/redact/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Redact,233,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/relay/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Relay,340,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/runledger/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,RunLedger,134,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/scent/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Scent,136,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/scout/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,Scout,128,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/searchbridge/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,SearchBridge,249,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
after,https://kujolang.ai/ecosystem/shipcheck/,software-detail,Explain one Kujo project and link its source,Developers and AI-software teams,technical adoption,ShipCheck,132,Repository/source links and explicit operating boundaries,No rendered modified date,Medium,,Measurement/editorial review required,Preserve factual specificity; add dated primary evidence when available
