phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
baseline,https://kujolang.ai/,templates/page-home.html,home,200,200,yes,"default index,follow",https://kujolang.ai/,200,Kujo — AI-Native Programming Language | Kujolang.ai,51,"Kujo is the programming language for AI-native software, local-first automation, and agentic workflows.",103,Trust at the speed of AI,H2:Quick Install > H2:Give this prompt to your agent > H1:Trust at the speed of AI,69,en,,,Kujo Team,no,Organization|WebSite,616,28,7,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,0,no,yes,no,no,f95ed62ceb6599e2971ed812c4a5acb2b3c42c61d73f67a271f16b95fe924d44,
baseline,https://kujolang.ai/contact/,content/pages/02-contact.md,page,200,200,yes,"default index,follow",https://kujolang.ai/contact/,200,Contact the Kujo Team | Kujolang.ai,35,"Talk with the Kujo team about the language, ecosystem, community, partnerships, or technical questions.",103,Contact,H2:Quick Install > H2:Give this prompt to your agent > H1:Contact > H2:Send the right signal. > H3:General > H3:Technical > H3:Security > H2:Before you send,140,en,,,Kujo Team,no,ContactPage|Organization,462,27,9,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,1,no,yes,no,no,dfc18e7b4e61073ad243fb4d4fc056f434e3200e05f1ade1d8bc50635d513710,
baseline,https://kujolang.ai/ecosystem/agents-sdk/,content/ecosystem/11-agents-sdk.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/agents-sdk/,200,Agents SDK — Kujo Ecosystem | Kujolang.ai,41,"Agent runners, tools, approvals, handoffs, tracing, sessions, memory, retrieval, artifact stores, budgets, and offline fixtures.",128,Agents SDK,H2:Quick Install > H2:Give this prompt to your agent > H1:Agents SDK > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Continue exploring,128,en,,,Kujo Team,no,Organization|SoftwareSourceCode,3,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,6107b9d8c192b52e93dc9032ff1406a6d0b78742695d3b80b3ab0f464691609c,
baseline,https://kujolang.ai/ecosystem/ai-chat/,content/ecosystem/40-ai-chat.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/ai-chat/,200,AI Chat — Kujo Ecosystem | Kujolang.ai,38,"A local multi-provider chat application with encrypted provider profiles, SQLite history, streaming, comparison, transcription, and fixture smokes.",147,AI Chat,H2:Quick Install > H2:Give this prompt to your agent > H1:AI Chat > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Continue exploring,134,en,,,Kujo Team,no,Organization|SoftwareSourceCode,3,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,7dc51ebb47bd239079cbd573dcdd5097155e348e9a6f60fd0df660ab2d32ebbb,
baseline,https://kujolang.ai/ecosystem/ai-sdk/,content/ecosystem/10-ai-sdk.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/ai-sdk/,200,AI SDK — Kujo Ecosystem | Kujolang.ai,37,"Provider-normalized chat and embeddings contracts with presets, fixtures, retries, streaming, redaction, budgets, and telemetry hooks.",134,AI SDK,H2:Quick Install > H2:Give this prompt to your agent > H1:AI SDK > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Continue exploring,134,en,,,Kujo Team,no,Organization|SoftwareSourceCode,3,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,13e73ba7023d89b1583afe50f1819d02a064b2a7ef52003fcee87a02f8d14433,
baseline,https://kujolang.ai/ecosystem/casefile/,content/ecosystem/22-casefile.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/casefile/,200,CaseFile — Kujo Ecosystem | Kujolang.ai,39,"Reproducible failure and incident bundles with provenance, redaction, logs, reproduction notes, JSON, Markdown, and handoffs.",125,CaseFile,H2:Quick Install > H2:Give this prompt to your agent > H1:CaseFile > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Continue exploring,135,en,,,Kujo Team,no,Organization|SoftwareSourceCode,3,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,24f12b22eb545c897e9bdf216d7d5615388f95409af829f1581ce439d7f89019,
baseline,https://kujolang.ai/ecosystem/changebucket/,content/ecosystem/27-changebucket.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/changebucket/,200,ChangeBucket — Kujo Ecosystem | Kujolang.ai,43,"Change-footprint and blast-radius reports covering churn, categories, generated files, CI, deletions, dependencies, and budgets.",128,ChangeBucket,H2:Quick Install > H2:Give this prompt to your agent > H1:ChangeBucket > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Continue exploring,135,en,,,Kujo Team,no,Organization|SoftwareSourceCode,3,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,d4647368e84f01853fef19b9a656e2e72216da0785b1099162a2bd6e4d0c1475,
baseline,https://kujolang.ai/ecosystem/cms/,content/ecosystem/41-cms.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/cms/,200,CMS — Kujo Ecosystem | Kujolang.ai,34,"A server-first headless CMS with Kujo-backed routes, models, delivery APIs, authentication boundaries, webhooks, jobs, migrations, and recovery operations.",155,CMS,H2:Quick Install > H2:Give this prompt to your agent > H1:CMS > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Continue exploring,132,en,,,Kujo Team,no,Organization|SoftwareSourceCode,3,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,e1011d02d52297121590adf85c1b5df5a1aacd571cf082a90fa9c51ce2e47065,
baseline,https://kujolang.ai/ecosystem/concord/,content/ecosystem/25-concord.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/concord/,200,Concord — Kujo Ecosystem | Kujolang.ai,38,"Cross-artifact drift checks for code, CLI behavior, docs, examples, specs, evals, schemas, manifests, and sources of truth.",123,Concord,H2:Quick Install > H2:Give this prompt to your agent > H1:Concord > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Continue exploring,132,en,,,Kujo Team,no,Organization|SoftwareSourceCode,3,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,124bc15b829c91002f23b65d85eb268cab2aa95086212936add55440e53a0b50,
baseline,https://kujolang.ai/ecosystem/contentgraph/,content/ecosystem/38-contentgraph.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/contentgraph/,200,ContentGraph — Kujo Ecosystem | Kujolang.ai,43,"A deterministic, inspectable network of website content, internal links, topic clusters, overlaps, orphan candidates, and link opportunities.",141,ContentGraph,H2:Quick Install > H2:Give this prompt to your agent > H1:ContentGraph > H2:What it does > H2:Deterministic content relationships > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Continue exploring,242,en,,,Kujo Team,no,Organization|SoftwareSourceCode,3,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,4cc666d926aae744d973b78fa6966bb9744c2fae3f4a287ce742882a0bd8f2fa,
baseline,https://kujolang.ai/ecosystem/crud-api/,content/ecosystem/42-crud-api.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/crud-api/,200,CRUD API Showcase — Kujo Ecosystem | Kujolang.ai,48,"SQLite item and project APIs with a web playground, authentication strategies, contract smokes, disaster recovery, performance, and release patterns.",149,CRUD API Showcase,H2:Quick Install > H2:Give this prompt to your agent > H1:CRUD API Showcase > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Continue exploring,136,en,,,Kujo Team,no,Organization|SoftwareSourceCode,3,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,d0ea2a1c0e4c0347a418dd2021c341606cb539d4978b5aef34454a8673e4ce23,
