phase,url,local_status,production_status,robots_directives,canonical,canonical_target_status,sitemap_included,indexable,issues
after,https://kujolang.ai/,200,200,"default index,follow",https://kujolang.ai/,200,yes,yes,
after,https://kujolang.ai/contact/,200,200,"default index,follow",https://kujolang.ai/contact/,200,yes,yes,
after,https://kujolang.ai/ecosystem/agents-sdk/,200,200,"default index,follow",https://kujolang.ai/ecosystem/agents-sdk/,200,yes,yes,
after,https://kujolang.ai/ecosystem/ai-chat/,200,200,"default index,follow",https://kujolang.ai/ecosystem/ai-chat/,200,yes,yes,
after,https://kujolang.ai/ecosystem/ai-sdk/,200,200,"default index,follow",https://kujolang.ai/ecosystem/ai-sdk/,200,yes,yes,
after,https://kujolang.ai/ecosystem/casefile/,200,200,"default index,follow",https://kujolang.ai/ecosystem/casefile/,200,yes,yes,
after,https://kujolang.ai/ecosystem/changebucket/,200,200,"default index,follow",https://kujolang.ai/ecosystem/changebucket/,200,yes,yes,
after,https://kujolang.ai/ecosystem/cms/,200,200,"default index,follow",https://kujolang.ai/ecosystem/cms/,200,yes,yes,
after,https://kujolang.ai/ecosystem/concord/,200,200,"default index,follow",https://kujolang.ai/ecosystem/concord/,200,yes,yes,
after,https://kujolang.ai/ecosystem/contentgraph/,200,200,"default index,follow",https://kujolang.ai/ecosystem/contentgraph/,200,yes,yes,
after,https://kujolang.ai/ecosystem/crud-api/,200,200,"default index,follow",https://kujolang.ai/ecosystem/crud-api/,200,yes,yes,
after,https://kujolang.ai/ecosystem/dispatch/,200,200,"default index,follow",https://kujolang.ai/ecosystem/dispatch/,200,yes,yes,
after,https://kujolang.ai/ecosystem/eval/,200,200,"default index,follow",https://kujolang.ai/ecosystem/eval/,200,yes,yes,
after,https://kujolang.ai/ecosystem/fence/,200,200,"default index,follow",https://kujolang.ai/ecosystem/fence/,200,yes,yes,
after,https://kujolang.ai/ecosystem/howl/,200,200,"default index,follow",https://kujolang.ai/ecosystem/howl/,200,yes,yes,
after,https://kujolang.ai/ecosystem/,200,200,"default index,follow",https://kujolang.ai/ecosystem/,200,yes,yes,
after,https://kujolang.ai/ecosystem/kennel/,200,200,"default index,follow",https://kujolang.ai/ecosystem/kennel/,200,yes,yes,
after,https://kujolang.ai/ecosystem/kujo/,200,200,"default index,follow",https://kujolang.ai/ecosystem/kujo/,200,yes,yes,
after,https://kujolang.ai/ecosystem/leash/,200,200,"default index,follow",https://kujolang.ai/ecosystem/leash/,200,yes,yes,
after,https://kujolang.ai/ecosystem/lens/,200,200,"default index,follow",https://kujolang.ai/ecosystem/lens/,200,yes,yes,
after,https://kujolang.ai/ecosystem/mcp/,200,200,"default index,follow",https://kujolang.ai/ecosystem/mcp/,200,yes,yes,
after,https://kujolang.ai/ecosystem/muzzle/,200,200,"default index,follow",https://kujolang.ai/ecosystem/muzzle/,200,yes,yes,
after,https://kujolang.ai/ecosystem/packwrite/,200,200,"default index,follow",https://kujolang.ai/ecosystem/packwrite/,200,yes,yes,
after,https://kujolang.ai/ecosystem/patchbrief/,200,200,"default index,follow",https://kujolang.ai/ecosystem/patchbrief/,200,yes,yes,
after,https://kujolang.ai/ecosystem/primitives/,200,200,"default index,follow",https://kujolang.ai/ecosystem/primitives/,200,yes,yes,
after,https://kujolang.ai/ecosystem/rag/,200,200,"default index,follow",https://kujolang.ai/ecosystem/rag/,200,yes,yes,
after,https://kujolang.ai/ecosystem/redact/,200,200,"default index,follow",https://kujolang.ai/ecosystem/redact/,200,yes,yes,
after,https://kujolang.ai/ecosystem/relay/,200,200,"default index,follow",https://kujolang.ai/ecosystem/relay/,200,yes,yes,
after,https://kujolang.ai/ecosystem/runledger/,200,200,"default index,follow",https://kujolang.ai/ecosystem/runledger/,200,yes,yes,
after,https://kujolang.ai/ecosystem/scent/,200,200,"default index,follow",https://kujolang.ai/ecosystem/scent/,200,yes,yes,
after,https://kujolang.ai/ecosystem/scout/,200,200,"default index,follow",https://kujolang.ai/ecosystem/scout/,200,yes,yes,
after,https://kujolang.ai/ecosystem/searchbridge/,200,200,"default index,follow",https://kujolang.ai/ecosystem/searchbridge/,200,yes,yes,
after,https://kujolang.ai/ecosystem/shipcheck/,200,200,"default index,follow",https://kujolang.ai/ecosystem/shipcheck/,200,yes,yes,
after,https://kujolang.ai/ecosystem/showcase/,200,200,"default index,follow",https://kujolang.ai/ecosystem/showcase/,200,yes,yes,
after,https://kujolang.ai/ecosystem/sitekit/,200,200,"default index,follow",https://kujolang.ai/ecosystem/sitekit/,200,yes,yes,
after,https://kujolang.ai/ecosystem/siteprobe/,200,200,"default index,follow",https://kujolang.ai/ecosystem/siteprobe/,200,yes,yes,
after,https://kujolang.ai/ecosystem/skills/,200,200,"default index,follow",https://kujolang.ai/ecosystem/skills/,200,yes,yes,
after,https://kujolang.ai/ecosystem/skills/kujo-agents-sdk-workflows/,200,200,"default index,follow",https://kujolang.ai/ecosystem/skills/kujo-agents-sdk-workflows/,200,yes,yes,
after,https://kujolang.ai/ecosystem/skills/kujo-ai-chat-workflows/,200,200,"default index,follow",https://kujolang.ai/ecosystem/skills/kujo-ai-chat-workflows/,200,yes,yes,
after,https://kujolang.ai/ecosystem/skills/kujo-ai-sdk-workflows/,200,200,"default index,follow",https://kujolang.ai/ecosystem/skills/kujo-ai-sdk-workflows/,200,yes,yes,
after,https://kujolang.ai/ecosystem/skills/kujo-backlog-normalizer/,200,200,"default index,follow",https://kujolang.ai/ecosystem/skills/kujo-backlog-normalizer/,200,yes,yes,
after,https://kujolang.ai/ecosystem/skills/kujo-benchmarks-capsule-workflows/,200,200,"default index,follow",https://kujolang.ai/ecosystem/skills/kujo-benchmarks-capsule-workflows/,200,yes,yes,
after,https://kujolang.ai/ecosystem/skills/kujo-casefile-workflows/,200,200,"default index,follow",https://kujolang.ai/ecosystem/skills/kujo-casefile-workflows/,200,yes,yes,
after,https://kujolang.ai/ecosystem/skills/kujo-changebucket-workflows/,200,200,"default index,follow",https://kujolang.ai/ecosystem/skills/kujo-changebucket-workflows/,200,yes,yes,
after,https://kujolang.ai/ecosystem/skills/kujo-cli-contracts/,200,200,"default index,follow",https://kujolang.ai/ecosystem/skills/kujo-cli-contracts/,200,yes,yes,
after,https://kujolang.ai/ecosystem/skills/kujo-cms-workflows/,200,200,"default index,follow",https://kujolang.ai/ecosystem/skills/kujo-cms-workflows/,200,yes,yes,
after,https://kujolang.ai/ecosystem/skills/kujo-concord-workflows/,200,200,"default index,follow",https://kujolang.ai/ecosystem/skills/kujo-concord-workflows/,200,yes,yes,
after,https://kujolang.ai/ecosystem/skills/kujo-contentgraph-workflows/,200,200,"default index,follow",https://kujolang.ai/ecosystem/skills/kujo-contentgraph-workflows/,200,yes,yes,
after,https://kujolang.ai/ecosystem/skills/kujo-core-language/,200,200,"default index,follow",https://kujolang.ai/ecosystem/skills/kujo-core-language/,200,yes,yes,
after,https://kujolang.ai/ecosystem/skills/kujo-cross-repo-dogfood-runner/,200,200,"default index,follow",https://kujolang.ai/ecosystem/skills/kujo-cross-repo-dogfood-runner/,200,yes,yes,
after,https://kujolang.ai/ecosystem/skills/kujo-crud-api-workflows/,200,200,"default index,follow",https://kujolang.ai/ecosystem/skills/kujo-crud-api-workflows/,200,yes,yes,
